MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/17/2021 19:44:21,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,78,0,10.93,nan
3/17/2021 19:44:35,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,79,0,7.44,nan
3/17/2021 19:44:52,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,80,0,8.88,nan
3/17/2021 19:45:21,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,81,0,22.22,nan
3/17/2021 19:50:14,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,82,0,Timed_out,nan
3/17/2021 20:17:41,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,83,0,Timed_out,nan
3/17/2021 20:18:31,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,84,0,42.34,nan
3/17/2021 20:18:45,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,85,0,7.96,nan
3/17/2021 20:19:19,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,86,0,26.80,nan
3/17/2021 20:19:50,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,87,0,23.09,nan
3/17/2021 20:56:55,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,88,0,Timed_out,nan
3/17/2021 20:57:05,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,89,0,2.63,nan
3/17/2021 20:57:18,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,90,0,5.86,nan
3/17/2021 20:57:30,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,91,0,4.47,nan
3/17/2021 20:57:42,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,92,0,4.93,nan
3/17/2021 20:57:55,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,93,0,5.66,nan
3/17/2021 20:58:09,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,94,0,6.65,nan
3/17/2021 20:58:26,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,95,0,10.21,nan
3/17/2021 20:58:38,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,96,0,4.87,nan
3/17/2021 20:58:53,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,97,0,5.86,nan
3/17/2021 20:59:07,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,98,0,7.05,nan
3/17/2021 20:59:22,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,99,0,8.17,nan
3/17/2021 20:59:36,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,100,0,6.98,nan
3/17/2021 21:06:57,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,101,0,Timed_out,nan
3/17/2021 21:07:12,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,102,0,8.09,nan
3/17/2021 21:07:27,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,103,0,7.63,nan
3/17/2021 21:07:41,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,104,0,6.84,nan
3/17/2021 21:07:56,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,105,0,8.03,nan
3/17/2021 21:27:29,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,106,0,Timed_out,nan
3/17/2021 21:27:42,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,107,0,6.19,nan
3/17/2021 21:27:56,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,108,0,6.38,nan
3/17/2021 21:28:10,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,109,0,6.39,nan
3/17/2021 21:28:24,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,110,0,7.04,nan
3/17/2021 21:28:40,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,111,0,9.15,nan
3/17/2021 21:59:29,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,112,0,Timed_out,nan
3/17/2021 22:00:10,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,113,0,34.41,nan
3/17/2021 22:15:10,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,114,0,Timed_out,nan
3/17/2021 22:15:20,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,115,0,2.23,nan
3/17/2021 22:15:36,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,116,0,9.75,nan
3/17/2021 22:16:17,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,117,0,31.23,nan
3/17/2021 22:16:32,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,118,0,7.70,nan
3/17/2021 22:16:49,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,119,0,9.68,nan
3/17/2021 22:17:07,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,120,0,10.34,nan
3/17/2021 22:17:21,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,121,0,6.32,nan
3/17/2021 22:17:36,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,122,0,7.44,nan
3/17/2021 22:17:53,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,123,0,9.81,nan
3/17/2021 22:18:22,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,124,0,21.25,nan
3/17/2021 22:47:30,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,125,0,Timed_out,nan
3/17/2021 22:47:46,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,126,0,6.25,nan
3/17/2021 22:47:58,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,127,0,4.21,nan
3/17/2021 22:48:10,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,128,0,3.42,nan
3/17/2021 22:48:20,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,129,0,2.03,nan
3/17/2021 22:48:33,1.4.2,FreeFeed,10,4.16,2,1,Pellet,Left,0,0,130,0,6.39,nan
3/18/2021 0:00:39,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,131,0,Timed_out,nan
3/18/2021 0:00:59,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,132,0,13.57,nan
3/18/2021 0:01:08,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,133,0,1.64,nan
3/18/2021 0:01:18,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,134,0,2.56,nan
3/18/2021 0:01:32,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,135,0,6.98,nan
3/18/2021 0:01:39,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,136,0,0.06,nan
3/18/2021 0:01:51,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,137,0,5.20,nan
3/18/2021 0:02:01,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,138,0,3.35,nan
3/18/2021 0:02:17,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,139,0,8.30,nan
3/18/2021 0:02:32,1.4.2,FreeFeed,10,4.15,2,1,Pellet,Left,0,0,140,0,5.00,nan
3/18/2021 0:02:48,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,141,0,9.15,nan
3/18/2021 0:03:04,1.4.2,FreeFeed,10,4.15,2,1,Pellet,Left,0,0,142,0,8.49,nan
3/18/2021 0:03:20,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,143,0,9.02,nan
3/18/2021 0:23:05,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,144,0,Timed_out,nan
3/18/2021 0:23:33,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,145,0,21.37,nan
3/18/2021 0:33:30,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,146,0,Timed_out,nan
3/18/2021 0:33:50,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,147,0,13.18,nan
3/18/2021 0:33:58,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,148,0,0.92,nan
3/18/2021 0:34:19,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,149,0,14.17,nan
3/18/2021 0:34:41,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,150,0,14.70,nan
3/18/2021 0:35:08,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,151,0,20.65,nan
3/18/2021 0:59:52,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,152,0,Timed_out,nan
3/18/2021 1:00:00,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,153,0,0.59,nan
3/18/2021 1:00:12,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,154,0,5.13,nan
3/18/2021 1:00:27,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,155,0,7.50,nan
3/18/2021 1:00:42,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,156,0,8.10,nan
3/18/2021 1:00:58,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,157,0,9.15,nan
3/18/2021 1:01:21,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,158,0,15.95,nan
3/18/2021 1:01:39,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,159,0,10.87,nan
3/18/2021 1:01:56,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,160,0,9.42,nan
3/18/2021 1:02:13,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,161,0,9.55,nan
3/18/2021 1:02:33,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,162,0,12.52,nan
3/18/2021 1:02:41,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,163,0,0.78,nan
3/18/2021 1:03:00,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,164,0,11.60,nan
3/18/2021 1:03:20,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,165,0,12.32,nan
3/18/2021 1:26:41,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,166,0,Timed_out,nan
3/18/2021 1:26:57,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,167,0,9.09,nan
3/18/2021 1:51:16,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,168,0,Timed_out,nan
3/18/2021 1:52:02,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,169,0,39.64,nan
3/18/2021 1:52:17,1.4.2,FreeFeed,10,4.15,1,1,Pellet,Left,0,0,170,0,9.49,nan
3/18/2021 3:14:03,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,171,0,Timed_out,nan
3/18/2021 3:25:02,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,172,0,Timed_out,nan
3/18/2021 3:25:10,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,173,0,0.72,nan
3/18/2021 3:25:17,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,174,0,1.18,nan
3/18/2021 3:25:33,1.4.2,FreeFeed,10,4.14,2,1,Pellet,Left,0,0,175,0,7.77,nan
3/18/2021 3:25:48,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,176,0,7.90,nan
3/18/2021 3:26:04,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,177,0,8.96,nan
3/18/2021 3:26:21,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,178,0,10.48,nan
3/18/2021 3:26:36,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,179,0,7.18,nan
3/18/2021 3:26:52,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,180,0,8.63,nan
3/18/2021 3:27:11,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,181,0,11.73,nan
3/18/2021 3:27:24,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,182,0,6.39,nan
3/18/2021 3:27:46,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,183,0,14.44,nan
3/18/2021 3:28:04,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,184,0,10.21,nan
3/18/2021 3:28:25,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,185,0,13.65,nan
3/18/2021 3:28:47,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,186,0,15.44,nan
3/18/2021 3:29:05,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,187,0,10.15,nan
3/18/2021 3:29:23,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,188,0,11.47,nan
3/18/2021 3:29:44,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,189,0,12.73,nan
3/18/2021 4:21:38,1.4.2,FreeFeed,10,4.13,2,1,Pellet,Left,0,0,190,0,Timed_out,nan
3/18/2021 4:21:56,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,191,0,11.73,nan
3/18/2021 4:22:04,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,192,0,0.85,nan
3/18/2021 4:22:12,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,193,0,0.78,nan
3/18/2021 4:22:30,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,194,0,10.48,nan
3/18/2021 4:22:40,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,195,0,2.50,nan
3/18/2021 4:22:55,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,196,0,8.36,nan
3/18/2021 4:23:13,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,197,0,9.49,nan
3/18/2021 4:23:31,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,198,0,10.54,nan
3/18/2021 4:24:05,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,199,0,26.74,nan
3/18/2021 4:35:50,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,200,0,Timed_out,nan
3/18/2021 4:36:11,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,201,0,14.24,nan
3/18/2021 4:36:32,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,202,0,14.11,nan
3/18/2021 4:36:50,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,203,0,10.81,nan
3/18/2021 4:37:18,1.4.2,FreeFeed,10,4.14,2,1,Pellet,Left,0,0,204,0,20.92,nan
3/18/2021 4:37:41,1.4.2,FreeFeed,10,4.14,1,1,Pellet,Left,0,0,205,0,15.69,nan
3/18/2021 4:38:04,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,206,0,15.50,nan
3/18/2021 5:31:32,1.4.2,FreeFeed,10,4.13,2,1,Pellet,Left,0,0,207,0,Timed_out,nan
3/18/2021 5:31:51,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,208,0,12.26,nan
3/18/2021 5:32:05,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,209,0,7.44,nan
3/18/2021 5:32:20,1.4.2,FreeFeed,10,4.13,2,1,Pellet,Left,0,0,210,0,5.73,nan
3/18/2021 5:32:37,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,211,0,9.36,nan
3/18/2021 5:32:54,1.4.2,FreeFeed,10,4.13,1,1,Pellet,Left,0,0,212,0,9.49,nan
